x,y,z,T
119.48,31.43,9,26.7
90.02,31.38,4752,9.3
116.32,31.4,83,25.8
118.37,31.33,22,26.6
96.6,31.22,3815,11.3
112.57,31.17,52,27.2
115.02,31.18,56,26.9
121.43,31.17,6,26.8
97.17,31.15,3294,15.4
120.43,31.07,1,26.7
109.53,31.02,320,28.1
88.63,30.95,4653,10.7
100.32,30.93,3479,13.7
111.08,30.87,138,26.6
108.4,30.77,229,28.3
95.83,30.75,3755,14.3
103.83,30.7,535,25.1
93.28,30.67,5196,8.6
113.17,30.67,30,26.9
114.13,30.62,26,27.2
121.08,30.62,10,26.3
91.1,30.48,4301,11.1
105.55,30.5,350,27.2
112.15,30.35,32,27.1
81.25,30.28,5251,14.6
120.17,30.23,24,26.6
110.67,30.2,803,23.6
121.27,30.2,5,26.9
104.65,30.12,349,27.2
101.97,30.05,2961,14.7
122.1,30.03,4,25.6
99.1,30,2592,19.2
100.27,30,3982,9.9
103,29.98,653,25.3
113.92,29.98,30,26.8
95.77,29.87,2736,17.1
121.57,29.87,13,26.6
91.73,29.85,3810,14.6
107.42,29.75,253,26.9
116,29.73,24,26.3
89.1,29.68,4005,14.7
94.33,29.67,3056,16.1
97.83,29.67,4171,11.8
98.6,29.68,3949,10.9
105.12,29.62,329,26.6
119.02,29.62,98,26.4
115.98,29.58,1123,20.3
120.82,29.6,23,26.6
103.75,29.57,397,26.8
103.33,29.52,2831,10.7
90.17,29.43,3809,15.7
110.17,29.4,339,25.6
112.4,29.37,32,27.3
90.98,29.3,3569,16.7
108.17,29.3,270,26.5
117.2,29.3,53,27.2
91.77,29.25,3558,16.1
94.22,29.22,3089,16
92.58,29.15,3205,17.4
87.6,29.08,4441,16.4
100.3,29.05,3788,11.7
101.5,29,3137,14.2
116.68,29,21,27.5
90.4,28.97,4469,10.4
89.6,28.92,4036,13.6
112.37,28.85,37,27.4
99.28,28.72,2946,22.1
113.57,28.72,91,26.3
118.25,28.68,99,26.9
102.52,28.65,1658,20.2
87.08,28.63,4405,12.9
121.42,28.62,4,26.9
115.92,28.6,20,27.4
98.92,28.48,3151,13.1
110.4,28.47,107,26.4
119.92,28.45,52,27.6
121.9,28.45,34,24.8
92.47,28.42,3939,13
111.22,28.38,123,26
117.22,28.3,55,27.3
103.58,28.27,1463,21.6
112.92,28.22,62,26.2
113.08,28.2,42,26.2
85.97,28.18,4284,10.6
106.43,28.17,663,26.4
106.83,28.13,1185,23.3
115.55,28.07,30,28.2
120.67,28,15,27
91.95,27.98,4639,8.5
108.25,27.95,368,26.2
102.27,27.9,1567,21.4
118.53,27.92,236,25.7
113.17,27.87,63,26.8
107.47,27.77,798,23.9
118.03,27.77,224,26.6
89.08,27.73,4307,7.7
109.18,27.72,280,25.7
116.65,27.58,58,26.9
109.68,27.45,249,25.5
112.17,27.45,104,26.5
101.52,27.43,2542,16.6
118.12,27.33,195,26.8
120.2,27.33,104,27.6
111.47,27.23,236,25.2
114.92,27.05,48,27.7
106.02,27.03,1244,22.6
108.67,26.97,612,23.8
100.22,26.87,2388,18.2
104.28,26.87,2217,16.8
116.33,26.85,122,27.1
110.63,26.73,331,25.5
113.97,26.72,250,26.3
119.52,26.67,25,28.4
102.25,26.65,1791,20.2
118.17,26.65,151,27.9
101.72,26.58,1188,24.4
106.73,26.58,1054,21.9
107.98,26.6,709,23.9
114.17,26.58,946,22.4
101.73,26.5,1104,25.5
112.4,26.42,79,26.7
111.62,26.23,108,26.3
119.28,26.08,12,28.3
98.85,25.87,1021,25.6
116.37,25.85,312,26.4
107.55,25.83,998,22.4
113.03,25.8,155,27
104.47,25.72,1747,19.4
118.1,25.72,1372,18.8
100.18,25.7,1978,19.7
103.83,25.58,1854,19.2
119.78,25.52,6,27.1
117.42,25.3,186,27.9
109.4,25.22,125,27.3
106.08,25.18,562,25.8
114.32,25.13,141,27.5
99.18,25.12,1652,21.3
117.03,25.1,340,27.2
116.42,25.05,192,27.1
98.5,25.02,1629,19.4
102.68,25.02,1885,19.9
115.65,24.95,305,26.2
103.17,24.92,1527,21.6
112.38,24.78,98,27
108.05,24.7,206,26.7
113.6,24.68,59,27.7
107.03,24.55,485,24.9
100.87,24.47,1655,23.4
114.48,24.37,219,27.6
102.55,24.33,1713,20.9
116.1,24.27,103,28
110.52,24.2,148,26.4
97.85,24.02,797,24
106.6,23.9,150,27.7
100.08,23.88,1499,21.6
113.53,23.87,68,27.9
114.68,23.73,43,28.4
104.33,23.62,1553,20.9
112.43,23.63,60,28.8
101.98,23.6,425,29.5
99.4,23.55,1083,23.4
